clone_a,clone_b,batch,n_a,n_b,sinkhorn,energy
E7.5-R1-C2,E7.5-R2-C2,17,182,197,32.74980926513672,2.4190235137939453
E7.5-R1-C2,E7.5-R2-C2,18,182,197,42.46746063232422,2.511439323425293
E7.5-R1-C2,E7.5-R2-C2,19,182,197,41.45348358154297,2.745163917541504
E7.5-R1-C2,E7.5-R2-C2,20,182,197,27.687583923339844,2.546386241912842
E7.5-R1-C2,E7.5-R2-C2,21,182,197,36.623207092285156,2.2257299423217773
E7.5-R1-C2,E7.5-R2-C2,22,182,197,52.763336181640625,3.283400058746338
E7.5-R1-C2,E7.5-R2-C2,23,182,197,29.207721710205078,2.0304923057556152
E7.5-R1-C2,E7.5-R2-C2,24,182,197,53.096282958984375,3.2813658714294434
E7.5-R1-C2,E7.5-R2-C2,25,182,197,21.75588607788086,1.9373559951782227
E7.5-R1-C2,E7.5-R2-C2,26,182,197,25.505859375,1.8704633712768555
E7.5-R1-C2,E7.5-R2-C2,27,182,197,37.407203674316406,3.5096025466918945
E7.5-R1-C2,E7.5-R2-C2,28,182,197,32.260345458984375,2.4318461418151855
E7.5-R1-C2,E7.5-R2-C2,29,182,197,36.261985778808594,2.56927490234375
E7.5-R1-C2,E7.5-R2-C2,30,182,197,37.75545120239258,2.206618309020996
E7.5-R1-C2,E7.5-R2-C2,31,182,197,42.946510314941406,2.2680811882019043
E7.5-R1-C2,E7.5-R2-C2,32,182,197,32.85002899169922,3.125354290008545
E7.5-R1-C2,E7.5-R2-C2,33,182,197,19.54834747314453,2.018585205078125
E7.5-R1-C2,E7.5-R2-C2,34,182,197,46.370338439941406,3.2580461502075195
E7.5-R1-C2,E7.5-R2-C2,35,182,197,22.198999404907227,2.100857734680176
E7.5-R1-C2,E7.5-R2-C2,36,182,197,25.716064453125,2.0580930709838867
E7.5-R1-C2,E7.5-R2-C2,37,182,197,31.923805236816406,3.0927839279174805
E7.5-R1-C2,E7.5-R2-C2,38,182,197,36.46378707885742,2.685634136199951
E7.5-R1-C2,E7.5-R2-C2,39,182,197,24.355365753173828,2.192772388458252
E7.5-R1-C2,E7.5-R2-C2,40,182,197,47.688934326171875,3.830280303955078
