bucket,dataset_a,dataset_b,embryo_a,embryo_b,batch,n_a,n_b,time_a,time_b,sinkhorn
early,qiu2022,devmap,E6.5,E7.5-R3,37,4444,1468,E6.5,7.5,96.26995849609375
early,qiu2022,devmap,E6.5,E7.5-R3,38,4444,1468,E6.5,7.5,80.86932373046875
early,qiu2022,devmap,E6.5,E7.5-R3,39,4444,1468,E6.5,7.5,84.88141632080078
early,qiu2022,devmap,E6.5,E7.5-R3,40,4444,1468,E6.5,7.5,79.07026672363281
early,qiu2022,devmap,E6.5,E7.5-R3,41,4444,1468,E6.5,7.5,76.37712860107422
early,qiu2022,devmap,E6.5,E7.5-R3,42,4444,1468,E6.5,7.5,73.67002868652344
early,qiu2022,devmap,E6.5,E7.5-R3,43,4444,1468,E6.5,7.5,84.61302185058594
early,qiu2022,devmap,E6.5,E7.5-R3,44,4444,1468,E6.5,7.5,113.6684341430664
early,qiu2022,devmap,E6.5,E7.5-R3,45,4444,1468,E6.5,7.5,80.18350219726562
early,qiu2022,devmap,E6.5,E7.5-R3,46,4444,1468,E6.5,7.5,88.5191650390625
early,qiu2022,devmap,E6.5,E7.5-R3,47,4444,1468,E6.5,7.5,80.00135803222656
early,qiu2022,devmap,E6.5,E7.5-R3,48,4444,1468,E6.5,7.5,74.38864135742188
early,qiu2022,devmap,E6.5,E7.5-R3,49,4444,1468,E6.5,7.5,81.12586975097656
early,qiu2022,devmap,E6.5,E8.0-R1,0,4444,4498,E6.5,8.0,89.57984924316406
early,qiu2022,devmap,E6.5,E8.0-R1,1,4444,4498,E6.5,8.0,76.11457824707031
early,qiu2022,devmap,E6.5,E8.0-R1,2,4444,4498,E6.5,8.0,114.35885620117188
early,qiu2022,devmap,E6.5,E8.0-R1,3,4444,4498,E6.5,8.0,98.0818099975586
early,qiu2022,devmap,E6.5,E8.0-R1,4,4444,4498,E6.5,8.0,72.94752502441406
early,qiu2022,devmap,E6.5,E8.0-R1,5,4444,4498,E6.5,8.0,81.75883483886719
early,qiu2022,devmap,E6.5,E8.0-R1,6,4444,4498,E6.5,8.0,93.2454833984375
early,qiu2022,devmap,E6.5,E8.0-R1,7,4444,4498,E6.5,8.0,91.98867797851562
early,qiu2022,devmap,E6.5,E8.0-R1,8,4444,4498,E6.5,8.0,103.98115539550781
early,qiu2022,devmap,E6.5,E8.0-R1,9,4444,4498,E6.5,8.0,72.12918090820312
early,qiu2022,devmap,E6.5,E8.0-R1,10,4444,4498,E6.5,8.0,102.51416778564453
early,qiu2022,devmap,E6.5,E8.0-R1,11,4444,4498,E6.5,8.0,86.10716247558594
early,qiu2022,devmap,E6.5,E8.0-R1,12,4444,4498,E6.5,8.0,80.93035888671875
early,qiu2022,devmap,E6.5,E8.0-R1,13,4444,4498,E6.5,8.0,78.49777221679688
early,qiu2022,devmap,E6.5,E8.0-R1,14,4444,4498,E6.5,8.0,102.3543930053711
early,qiu2022,devmap,E6.5,E8.0-R1,15,4444,4498,E6.5,8.0,111.404541015625
